1,3390,3400,tubing_p,Пакер НКТ
2,3418,3420,stinger,Cтингер
3,3523,3524,packer,Пакер заколонный
4,3559,3560,port,Муфта ГРП 10
5,3607,3608,packer,Пакер заколонный
6,3665,3666,port,Муфта ГРП 9
7,3713,3714,packer,Пакер заколонный
8,3784,3785,port,Муфта ГРП 8
9,3854,3855,packer,Пакер заколонный
10,3878,3879,port,Муфта ГРП 7
11,3926,3927,packer,Пакер заколонный
12,3984,3985,port,Муфта ГРП 6
13,4020,4021,packer,Пакер заколонный
14,4079,4080,port,Муфта ГРП 5
15,4137,4138,packer,Пакер заколонный
16,4183,4184,port,Муфта ГРП 4
17,4254,4255,packer,Пакер заколонный
18,4299,4300,port,Муфта ГРП 3
19,4346,4347,packer,Пакер заколонный
20,4403,4404,port,Муфта ГРП 2
21,4450,4451,packer,Пакер заколонный
22,4508,4509,port,Муфта гидравлическая
23,4566,4567,packer,Пакер заколонный
24,4624,4625,port,Муфта гидравлическая
25,4682,4683,packer,Пакер заколонный
26,4740,4741,port,Муфта гидравлическая
27,4798,4799,packer,Пакер заколонный
28,4856,4857,port,Муфта гидравлическая
29,4914,4915,packer,Пакер заколонный
30,4972,4973,port,Муфта гидравлическая
31,5030,5031,packer,Пакер заколонный
32,5088,5089,port,Муфта гидравлическая
33,5146,5147,packer,Пакер заколонный
34,5204,5205,port,Муфта гидравлическая
35,5262,5263,packer,Пакер заколонный
36,5320,5321,port,Муфта гидравлическая
37,5378,5379,packer,Пакер заколонный
38,5436,5437,port,Муфта гидравлическая
39,5494,5495,packer,Пакер заколонный
40,5552,5553,port,Муфта гидравлическая
41,5610,5611,packer,Пакер заколонный
42,5668,5669,port,Муфта гидравлическая
43,5726,5727,packer,Пакер заколонный
44,4531,4531,toe,Башмак
